regiao,faixa_renda,diver
Sudeste,Acima de 20k,0.07298904482875648
Sudeste,Acima de 20k,0.8794602884448314
Sul,Acima de 20k,0.36669830189390556
Sudeste,Até 20k,0.9544112362509983
Sudeste,Até 20k,0.0
Nordeste,Acima de 20k,0.8062490623313452
Sudeste,Até 20k,0.0
Nordeste,Acima de 20k,0.09239201808774328
Sudeste,Acima de 20k,0.08753590121475678
Sudeste,Até 20k,0.0
Sudeste,Acima de 20k,0.34044579674867526
Nordeste,Até 20k,0.28157402042451374
Sudeste,Acima de 20k,0.33932311147103483
Nordeste,Acima de 20k,0.006133143494887887
Sul,Até 20k,0.10271635861572884
Nordeste,Acima de 20k,0.055745240536225066
Sudeste,Até 20k,0.0
Nordeste,Até 20k,0.0
Sudeste,Acima de 20k,0.02088395188133857
Sul,Até 20k,0.006847857124856001
Sudeste,Acima de 20k,0.48490243606301653
Nordeste,Acima de 20k,0.9653346256977516
Sudeste,Acima de 20k,0.14648034856064246
Sudeste,Acima de 20k,0.01246520979673889
Sul,Acima de 20k,0.0
Sudeste,Acima de 20k,0.04057182965811761
Nordeste,Até 20k,0.2551078749740833
Sudeste,Acima de 20k,0.0
Sul,Acima de 20k,0.15402825848236884
Sudeste,Até 20k,0.0
Sudeste,Até 20k,0.0
Centro-Oeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.4276870985773027
Sudeste,Até 20k,0.0
Sul,Acima de 20k,0.0
Sudeste,Acima de 20k,0.8934409644055082
Sudeste,Até 20k,0.5900884010856504
Sul,Até 20k,0.026571374340237704
Sudeste,Até 20k,0.29872736996743793
Sul,Acima de 20k,0.2866250288633895
Sudeste,Acima de 20k,0.0
Sudeste,Até 20k,0.0
Sul,Até 20k,0.0
Sul,Até 20k,0.0
Sudeste,Até 20k,0.2655401541639236
Nordeste,Acima de 20k,0.5410373320104678
Sudeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.0888534755238548
Nordeste,Acima de 20k,0.4264762099080713
Centro-Oeste,Acima de 20k,0.2049737414355755
Sul,Acima de 20k,0.19644681398911648
Sudeste,Até 20k,0.058019180524707434
Nordeste,Acima de 20k,0.0
Sudeste,Até 20k,0.5529139188560941
Sudeste,Acima de 20k,0.37639963634988355
Sudeste,Até 20k,0.0
Nordeste,Acima de 20k,0.8728129716135896
Sul,Acima de 20k,0.3949173429159056
Sudeste,Acima de 20k,0.022729572268570357
Nordeste,Acima de 20k,0.0965288315819993
Sudeste,Até 20k,0.0
Sudeste,Até 20k,0.0
Sudeste,Até 20k,0.13806832454661894
Sul,Até 20k,0.0
Nordeste,Acima de 20k,0.8180740875614263
Sudeste,Acima de 20k,0.010388395242030038
Sul,Acima de 20k,0.0
Centro-Oeste,Acima de 20k,0.7206379034444594
Sudeste,Acima de 20k,0.04802541490608903
Centro-Oeste,Acima de 20k,0.6255523155530902
Sudeste,Acima de 20k,0.6945289880220268
Sudeste,Até 20k,0.0
Sudeste,Até 20k,0.23643355527813237
Sul,Até 20k,0.0
Sudeste,Acima de 20k,0.0
Centro-Oeste,Acima de 20k,0.13477519564166715
Sul,Acima de 20k,0.0
Sul,Até 20k,0.0027446260293899176
Sudeste,Até 20k,0.09339543470385774
Nordeste,Até 20k,0.0
Nordeste,Acima de 20k,0.09203185400052813
Centro-Oeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.3530527547719083
Sudeste,Até 20k,0.007765093315625748
Sudeste,Até 20k,0.0
Sudeste,Até 20k,0.0
Nordeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.28829544401468266
Sul,Acima de 20k,0.2892250615965374
Nordeste,Acima de 20k,0.01999752388729073
Centro-Oeste,Até 20k,0.0
Centro-Oeste,Acima de 20k,0.11748513509712182
Sudeste,Até 20k,0.13019486597853203
Sudeste,Acima de 20k,0.526374720539904
Sudeste,Acima de 20k,0.0
Centro-Oeste,Acima de 20k,0.25100453669300066
Sudeste,Até 20k,0.0
Sul,Até 20k,0.29909721279307344
Sudeste,Acima de 20k,0.2553169052419747
Centro-Oeste,Até 20k,0.0
Sudeste,Até 20k,0.21251505639600202
Sul,Acima de 20k,0.07772491741397766
Sul,Acima de 20k,0.13252380136629552
Sudeste,Até 20k,0.0
Centro-Oeste,Acima de 20k,0.022468101345126563
Sul,Acima de 20k,0.9456569710863119
Sudeste,Acima de 20k,0.0011818489810888552
Sul,Até 20k,0.1507670512182779
Sul,Até 20k,0.09188405411688107
Nordeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.0
Nordeste,Até 20k,0.0
Sudeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.08939311077806698
Sul,Até 20k,0.05878679715811156
Sudeste,Acima de 20k,0.0
Nordeste,Acima de 20k,0.017911786509971685
Sudeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.4496556864034111
Sudeste,Até 20k,0.3011704520854634
Centro-Oeste,Acima de 20k,0.707734344061856
Sul,Acima de 20k,0.0
Sudeste,Acima de 20k,0.4443783449451664
