perfil_grupo,diversificacao_media,proporcao_complex,total_clientes
Agressivo,0.5314148394947128,0.9320176549023579,8365
Arrojado,0.3289088021548179,0.82532851763621,24304
Moderado,0.17377682709351178,0.6164297959771243,73825
Não Respondeu,0.15942607090369917,0.5142974346660263,27581
Conservador,0.08959497390490594,0.3789742487925625,32697
