anomes,regiao,diver
2021-01-01,Centro-Oeste,0.1745103123826574
2021-01-01,Nordeste,0.14007309141935242
2021-01-01,Norte,0.13627893796089408
2021-01-01,Sudeste,0.14252503565308441
2021-01-01,Sul,0.15963155448952807
2021-02-01,Centro-Oeste,0.18287430265533322
2021-02-01,Nordeste,0.14882902095048092
2021-02-01,Norte,0.1427163824436941
2021-02-01,Sudeste,0.14921184930587314
2021-02-01,Sul,0.16682833706590164
2021-03-01,Centro-Oeste,0.19560849110332648
2021-03-01,Nordeste,0.15840474652866163
2021-03-01,Norte,0.15445186820148576
2021-03-01,Sudeste,0.15917572573901637
2021-03-01,Sul,0.1762948530551157
2021-04-01,Centro-Oeste,0.20652384011991898
2021-04-01,Nordeste,0.16762124185596355
2021-04-01,Norte,0.16123174241612404
2021-04-01,Sudeste,0.16812810938351172
2021-04-01,Sul,0.18579115740466515
2021-05-01,Centro-Oeste,0.22351463836345
2021-05-01,Nordeste,0.18513009834448754
2021-05-01,Norte,0.17800531812604986
2021-05-01,Sudeste,0.183437446089785
2021-05-01,Sul,0.2034985239378419
2021-06-01,Centro-Oeste,0.2395217414626721
2021-06-01,Nordeste,0.20163728862331598
2021-06-01,Norte,0.19352453822257418
2021-06-01,Sudeste,0.19817861799620295
2021-06-01,Sul,0.218594676723045
2021-07-01,Centro-Oeste,0.25470387695692953
2021-07-01,Nordeste,0.21623622459448238
2021-07-01,Norte,0.2074400329830301
2021-07-01,Sudeste,0.21070535080514752
2021-07-01,Sul,0.2326937042498451
2021-08-01,Centro-Oeste,0.2636548895615857
2021-08-01,Nordeste,0.22422682805828165
2021-08-01,Norte,0.21624514553294802
2021-08-01,Sudeste,0.21895893149008083
2021-08-01,Sul,0.2410879247382481
2021-09-01,Centro-Oeste,0.27060127051178884
2021-09-01,Nordeste,0.23184205694161017
2021-09-01,Norte,0.21986454668224684
2021-09-01,Sudeste,0.22409306831161993
2021-09-01,Sul,0.24429118251213594
2021-10-01,Centro-Oeste,0.2757700302333596
2021-10-01,Nordeste,0.23615000810497266
2021-10-01,Norte,0.22399027541779773
2021-10-01,Sudeste,0.2269641232526881
2021-10-01,Sul,0.24566538116927142
2021-11-01,Centro-Oeste,0.2805503990446619
2021-11-01,Nordeste,0.23925194577028205
2021-11-01,Norte,0.2294623566343689
2021-11-01,Sudeste,0.22999651998819248
2021-11-01,Sul,0.24633060962970324
2021-12-01,Centro-Oeste,0.2850380728080366
2021-12-01,Nordeste,0.2437161218028522
2021-12-01,Norte,0.23338084115418278
2021-12-01,Sudeste,0.23336581649693056
2021-12-01,Sul,0.24844276955756472
2022-01-01,Centro-Oeste,0.2878854448818158
2022-01-01,Nordeste,0.24690246050932185
2022-01-01,Norte,0.23624378063326607
2022-01-01,Não Identificada,0.17543634945830927
2022-01-01,Sudeste,0.23523982446703323
2022-01-01,Sul,0.24862259192677505
2022-02-01,Centro-Oeste,0.2861286578231745
2022-02-01,Nordeste,0.24835552844299866
2022-02-01,Norte,0.2381967372358466
2022-02-01,Não Identificada,0.21055115403601998
2022-02-01,Sudeste,0.23543076204636743
2022-02-01,Sul,0.2469053466989796
2022-03-01,Centro-Oeste,0.28694654437913986
2022-03-01,Nordeste,0.24895402775019254
2022-03-01,Norte,0.23523987089095486
2022-03-01,Não Identificada,0.2689105818307883
2022-03-01,Sudeste,0.23571654821338556
2022-03-01,Sul,0.2453920454720074
2022-04-01,Centro-Oeste,0.2853280136470989
2022-04-01,Nordeste,0.24939799345879562
2022-04-01,Norte,0.2354670300007585
2022-04-01,Não Identificada,0.26630949222204736
2022-04-01,Sudeste,0.23498612468117433
2022-04-01,Sul,0.24491826309745973
2022-05-01,Centro-Oeste,0.2837219735693237
2022-05-01,Nordeste,0.2495784525575329
2022-05-01,Norte,0.2315306355521995
2022-05-01,Não Identificada,0.26021711260108715
2022-05-01,Sudeste,0.23445279470136132
2022-05-01,Sul,0.24363263998618595
2022-06-01,Centro-Oeste,0.27752983928858815
2022-06-01,Nordeste,0.2437646343717261
2022-06-01,Norte,0.22635114384314753
2022-06-01,Não Identificada,0.25503406042735394
2022-06-01,Sudeste,0.2287645174998756
2022-06-01,Sul,0.2375075698239654
2022-07-01,Centro-Oeste,0.2677254559652517
2022-07-01,Nordeste,0.2307613409955461
2022-07-01,Norte,0.21887158303639115
2022-07-01,Não Identificada,0.25413915036071977
2022-07-01,Sudeste,0.2171083066935937
2022-07-01,Sul,0.22670698055096475
2022-08-01,Centro-Oeste,0.2619137302998336
2022-08-01,Nordeste,0.2262328857425759
2022-08-01,Norte,0.21052809316961296
2022-08-01,Não Identificada,0.259021250051066
2022-08-01,Sudeste,0.2133167186061794
2022-08-01,Sul,0.2214501853617383
2022-09-01,Centro-Oeste,0.25754944230988924
2022-09-01,Nordeste,0.22405722715541018
2022-09-01,Norte,0.20773713547334796
2022-09-01,Não Identificada,0.2525533691113551
2022-09-01,Sudeste,0.21027208581389908
2022-09-01,Sul,0.21751853137853402
2022-10-01,Centro-Oeste,0.2575906056739997
2022-10-01,Nordeste,0.2238829881197821
2022-10-01,Norte,0.2067666527862196
2022-10-01,Não Identificada,0.253650855764284
2022-10-01,Sudeste,0.20982560990006022
2022-10-01,Sul,0.21615865676316673
2022-11-01,Centro-Oeste,0.25478057134766424
2022-11-01,Nordeste,0.2221231519957827
2022-11-01,Norte,0.2061330205960055
2022-11-01,Não Identificada,0.25534625293774654
2022-11-01,Sudeste,0.2078027323277674
2022-11-01,Sul,0.21354937803346158
2022-12-01,Centro-Oeste,0.24954385715751023
2022-12-01,Nordeste,0.21779811743558036
2022-12-01,Norte,0.20118042769338343
2022-12-01,Não Identificada,0.26253640318931765
2022-12-01,Sudeste,0.20347790854358097
2022-12-01,Sul,0.20845077167287596
2023-01-01,Centro-Oeste,0.24625734916893094
2023-01-01,Nordeste,0.2144403567284389
2023-01-01,Norte,0.1993017335860001
2023-01-01,Sudeste,0.20214534783046673
2023-01-01,Sul,0.20591561633215752
2023-02-01,Centro-Oeste,0.241915576351701
2023-02-01,Nordeste,0.20922088053181617
2023-02-01,Norte,0.19369051871112844
2023-02-01,Sudeste,0.1976084772608024
2023-02-01,Sul,0.19997507097466066
2023-03-01,Centro-Oeste,0.23549787149490586
2023-03-01,Nordeste,0.20449304818843062
2023-03-01,Norte,0.18838773333821346
2023-03-01,Sudeste,0.19296157130011796
2023-03-01,Sul,0.19420110211567193
2023-04-01,Centro-Oeste,0.23257343385967927
2023-04-01,Nordeste,0.20125693838190917
2023-04-01,Norte,0.18363374324045184
2023-04-01,Sudeste,0.18996036286842474
2023-04-01,Sul,0.19071024790496968
2023-05-01,Centro-Oeste,0.2291509813864575
2023-05-01,Nordeste,0.19652764405655465
2023-05-01,Norte,0.18125943824455096
2023-05-01,Sudeste,0.1864476918425567
2023-05-01,Sul,0.1865175603046441
2023-06-01,Centro-Oeste,0.22855337798919478
2023-06-01,Nordeste,0.19462673059892632
2023-06-01,Norte,0.1805501848128685
2023-06-01,Sudeste,0.18604351353671364
2023-06-01,Sul,0.18526315700536
2023-07-01,Centro-Oeste,0.22805253328394706
2023-07-01,Nordeste,0.19208173830691122
2023-07-01,Norte,0.17747899207270967
2023-07-01,Sudeste,0.18456523026682553
2023-07-01,Sul,0.182923053311227
2023-08-01,Centro-Oeste,0.22316131838339434
2023-08-01,Nordeste,0.18807199465779023
2023-08-01,Norte,0.17363820819582088
2023-08-01,Sudeste,0.1811153898660757
2023-08-01,Sul,0.17938532866834822
2023-09-01,Centro-Oeste,0.22024897585230416
2023-09-01,Nordeste,0.18504138736131756
2023-09-01,Norte,0.17146045509731933
2023-09-01,Sudeste,0.17891705432245142
2023-09-01,Sul,0.17687626342351795
2023-10-01,Centro-Oeste,0.2134746146074327
2023-10-01,Nordeste,0.1799729328313355
2023-10-01,Norte,0.16689394747440855
2023-10-01,Sudeste,0.17364589030550548
2023-10-01,Sul,0.17118137988947107
2023-11-01,Centro-Oeste,0.21301510420358524
2023-11-01,Nordeste,0.17905236328051563
2023-11-01,Norte,0.1662772066047031
2023-11-01,Sudeste,0.17284105597209012
2023-11-01,Sul,0.17026747154446528
2023-12-01,Centro-Oeste,0.21169628600521626
2023-12-01,Nordeste,0.17822403737202408
2023-12-01,Norte,0.16566948986331348
2023-12-01,Sudeste,0.17213900759030235
2023-12-01,Sul,0.16982733736873323
2024-01-01,Centro-Oeste,0.20987692827819582
2024-01-01,Nordeste,0.17652691800466563
2024-01-01,Norte,0.16528333622351668
2024-01-01,Não Identificada,0.13565382068045814
2024-01-01,Sudeste,0.17053776344882246
2024-01-01,Sul,0.16780102670273114
2024-02-01,Centro-Oeste,0.20942585420155022
2024-02-01,Nordeste,0.17519636327804397
2024-02-01,Norte,0.16476041310267192
2024-02-01,Não Identificada,0.13462832832474447
2024-02-01,Sudeste,0.16960352903363077
2024-02-01,Sul,0.1663594081144966
2024-03-01,Centro-Oeste,0.20769150469035255
2024-03-01,Nordeste,0.1737820606652587
2024-03-01,Norte,0.16355330924886424
2024-03-01,Não Identificada,0.13398188044440912
2024-03-01,Sudeste,0.16730863408084784
2024-03-01,Sul,0.16440907939585098
2024-04-01,Centro-Oeste,0.1754419663977097
2024-04-01,Nordeste,0.15195716232723389
2024-04-01,Norte,0.13788122755288848
2024-04-01,Não Identificada,0.0814680890456482
2024-04-01,Sudeste,0.1520836197556978
2024-04-01,Sul,0.14736569821184356
2024-05-01,Centro-Oeste,0.20046224259077694
2024-05-01,Nordeste,0.16626109005726894
2024-05-01,Norte,0.15811753484849997
2024-05-01,Não Identificada,0.1278149779787164
2024-05-01,Sudeste,0.16113749566437122
2024-05-01,Sul,0.15799278208692263
2024-06-01,Centro-Oeste,0.16931791789331374
2024-06-01,Nordeste,0.1454658792211028
2024-06-01,Norte,0.13356430936346383
2024-06-01,Não Identificada,0.07236219913112855
2024-06-01,Sudeste,0.145777697519462
2024-06-01,Sul,0.14232739932821412
2024-07-01,Centro-Oeste,0.16505372594049272
2024-07-01,Nordeste,0.14199159255672336
2024-07-01,Norte,0.1298583803916127
2024-07-01,Não Identificada,0.08351475054784495
2024-07-01,Sudeste,0.14273612922183282
2024-07-01,Sul,0.1398342988557778
2024-08-01,Centro-Oeste,0.16312461502420825
2024-08-01,Nordeste,0.14016774977084723
2024-08-01,Norte,0.12928618871598022
2024-08-01,Não Identificada,0.08601267505019897
2024-08-01,Sudeste,0.14190670490559565
2024-08-01,Sul,0.13900022944805876
2024-09-01,Centro-Oeste,0.15965908142254204
2024-09-01,Nordeste,0.13703753581708558
2024-09-01,Norte,0.1278590564125125
2024-09-01,Não Identificada,0.08215302373674585
2024-09-01,Sudeste,0.13862966620397002
2024-09-01,Sul,0.13636673272332417
2024-10-01,Centro-Oeste,0.15778016044957768
2024-10-01,Nordeste,0.13441129774972363
2024-10-01,Norte,0.1255376975619937
2024-10-01,Não Identificada,0.08052353990040509
2024-10-01,Sudeste,0.13608164710710252
2024-10-01,Sul,0.13427054199821192
2024-11-01,Centro-Oeste,0.1717456805765234
2024-11-01,Nordeste,0.14502959850463357
2024-11-01,Norte,0.1405531196951677
2024-11-01,Não Identificada,0.06570720746375835
2024-11-01,Sudeste,0.14121339515946302
2024-11-01,Sul,0.1394163008442387
2024-12-01,Centro-Oeste,0.16682176551206185
2024-12-01,Nordeste,0.13930473022442713
2024-12-01,Norte,0.13580624816680792
2024-12-01,Não Identificada,0.06379270311352722
2024-12-01,Sudeste,0.13655730876409553
2024-12-01,Sul,0.13443121285788215
